molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL2391565,CC1CCN(S(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)CC1,5.0,active
CHEMBL2391574,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)c2ccc(Cl)cc2)cc1,5.0,active
CHEMBL2391557,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCCCCC2)cc1,4.0,active
CHEMBL2391572,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,4.0,active
CHEMBL2391585,O=C(NCc1ccc2nccn2c1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,3.0,active
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,3.0,active
CHEMBL17289,N#CN=C(NCCCCCCOc1ccc(Cl)cc1)Nc1ccncc1,2.0,active
CHEMBL2391550,O=C(CCc1cccnc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,3000.0,intermediate
CHEMBL2391552,O=C(Nc1ccc(S(=O)(=O)c2ccccc2)cc1)Nc1cccnc1,10000.0,inactive
CHEMBL2391588,O=C(NCc1cc[nH]n1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,10000.0,inactive
CHEMBL2391571,O=C(NCc1cccnc1)Nc1cccc(S(=O)(=O)N2CCCCC2)c1,10000.0,inactive
CHEMBL2391569,S=C(NCc1cccnc1)Nc1ccccc1,10000.0,inactive
CHEMBL1322830,O=S(=O)(c1ccc(NC(=S)NCc2ccncc2)cc1)N1CCCCC1,10000.0,inactive
CHEMBL2393183,Nc1ccc(CNC(=O)Nc2ccc(S(=O)(=O)c3ccccc3)cc2)cn1,30.0,active
CHEMBL2393173,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N[C@H]2CCC[C@H](O)C2)cc1,4.0,active
CHEMBL2393172,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N[C@H]2CC[C@H](O)CC2)cc1,8.0,active
CHEMBL2393171,N[C@H]1CC[C@H](NS(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)CC1,4.0,active
CHEMBL2393170,CCN1CC[C@@H](NS(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)[C@@H](F)C1,142.0,active
CHEMBL2393169,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N[C@@H]2CCNC[C@H]2F)cc1,8.0,active
CHEMBL2393168,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCNC(C(F)(F)F)CC2)cc1,3.0,active
CHEMBL2393167,CC1CCN(S(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)CCN1,11.0,active
CHEMBL2393166,CC1CNCCN(S(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)C1,100.0,active
CHEMBL2393165,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCCNCC2)cc1,45.0,active
CHEMBL2393164,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCC3(CCNCC3)C2)cc1,5.0,active
CHEMBL2393163,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCC3(CCNC3)CC2)cc1,6.0,active
CHEMBL2393162,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCC3(CCCN3)CC2)cc1,27.0,active
CHEMBL2393161,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CC3(COC3)C2)cc1,103.0,active
CHEMBL2393160,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCC23COC3)cc1,47.0,active
CHEMBL2393159,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2C[C@@H]3C[C@H]2CO3)cc1,33.0,active
CHEMBL2393158,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2C3CCC2COC3)cc1,10.0,active
CHEMBL2393191,C[C@@H]1COC[C@@H](C)N1S(=O)(=O)c1ccc(NC(=O)NCc2cccnc2)cc1,52.0,active
CHEMBL2393190,C[C@@H]1CN(S(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)C[C@H](C)O1,4.0,active
CHEMBL2393189,Nc1ncc(CNC(=O)Nc2ccc(S(=O)(=O)c3ccccc3)cc2)cn1,14.0,active
CHEMBL2393188,O=C(NCc1cncnc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,600.0,active
CHEMBL2393187,O=C(NCc1cnccn1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,1300.0,intermediate
CHEMBL2393186,O=C(NCc1cccnn1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,12.0,active
CHEMBL2393185,O=C(NCc1cncc(F)c1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,13.0,active
CHEMBL2393184,CN(C)c1ccc(CNC(=O)Nc2ccc(S(=O)(=O)c3ccccc3)cc2)cn1,2000.0,intermediate
CHEMBL2393183,Nc1ccc(CNC(=O)Nc2ccc(S(=O)(=O)c3ccccc3)cc2)cn1,3.0,active
CHEMBL2393182,O=C(NCc1ccc(Cl)nc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,13.0,active
CHEMBL2393181,COc1ccc(CNC(=O)Nc2ccc(S(=O)(=O)c3ccccc3)cc2)cn1,680.0,active
CHEMBL2393180,CC(NC(=O)Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1cccnc1,1600.0,intermediate
CHEMBL2391551,CC(NC(=O)Nc1ccc(S(=O)(=O)c2ccccc2)cc1)c1cccnc1,930.0,active
CHEMBL2393179,Cc1ccncc1CNC(=O)Nc1ccc(S(=O)(=O)N2CCOCC2)cc1,1500.0,intermediate
CHEMBL2393178,Cc1ccncc1CNC(=O)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,12.0,active
CHEMBL2393177,Cc1cncc(CNC(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)c1,40.0,active
CHEMBL2393176,Cc1cncc(CNC(=O)Nc2ccc(S(=O)(=O)c3ccccc3)cc2)c1,7.0,active
